obs y x1 x2 x3 x4 x5
1 14 13.4 39 41 25 17
2 15 14.6 46 50 30 20
3 19 13.5 42 45 21 18
4 23 15 46 46 16 18
5 17 14.6 44 51 31 19
6 20 14 44 49 24 19
7 21 16.4 49 43 17 18
8 16 14.8 44 44 26 29
9 27 15.2 46 41 13 27
10 34 15.5 48 84 42 36
11 26 15.2 47 56 27 22
12 28 16.9 50 51 17 23
13 24 14.8 44 47 20 23
14 26 16.2 45 56 25 19
15 23 14.7 43 40 13 17
16 9 14.7 42 34 22 13
17 18 16.5 45 54 32 17
18 28 15.4 45 69 36 24
19 17 15.1 45 46 29 17
20 14 14.2 46 42 25 28
21 8 15.9 46 52 34 16
22 25 16 47 47 14 18
23 37 17.4 50 86 39 17
24 20 14.3 43 55 31 19
25 15 14.8 44 42 24 29
26 9 14.9 43 43 32 17
27 16 15.5 45 52 30 20
28 18 14.5 43 39 18 25
29 17 14.4 45 60 37 23
30 23 14.6 44 47 21 27
31 43 15.3 45 79 23 23
32 17 14.9 45 34 15 24
33 23 15.8 47 60 32 21
34 31 14.4 44 77 39 23
35 11 14.7 46 37 23 23
36 25 14.8 43 52 19 22
37 30 15.4 45 60 25 18
38 32 16.2 50 81 38 18
39 17 15 45 49 26 24
40 22 15.1 47 60 33 16
41 20 16 46 46 22 22
42 20 15.3 48 55 23 23
43 20 14.5 41 62 36 21
44 26 14.2 41 49 20 20
45 40 15 45 72 25 25
46 22 14.2 46 58 31 22
47 61 14.9 45 84 17 17
48 12 16.2 48 31 15 18
49 20 14.5 45 40 18 20
50 35 16.4 49 69 22 24
51 38 14.7 44 78 34 16
