Cable TensileStrength
1 345
2 329
3 340
4 328
5 347
6 341
7 339
8 339
9 342
1 327
2 327
3 330
4 344
5 341
6 340
7 340
8 340
9 346
1 335
2 332
3 325
4 342
5 345
6 335
7 342
8 347
9 347
1 338
2 348
3 328
4 350
5 340
6 336
7 341
8 345
9 348
1 330
2 337
3 338
4 335
5 350
6 339
7 336
8 350
9 355
1 334
2 328
3 332
4 332
5 346
6 340
7 342
8 348
9 351
1 335
2 328
3 335
4 328
5 345
6 342
7 347
8 341
9 333
1 340
2 330
3 340
4 340
5 342
6 345
7 345
8 342
9 347
1 333
2 328
3 335
4 337
5 330
6 346
7 336
8 340
9 348
1 335
2 330
3 329
4 340
5 338
6 347
7 342
8 345
9 341
