Rate Method Concentration
1 1 6.7
1 2 7
2 1 9.9
2 2 9.9
3 1 10.4
3 2 9.9
4 1 9.3
4 2 11
1 1 7.8
1 2 7.8
2 1 8.4
2 2 9.6
3 1 8.1
3 2 9.6
4 1 9.3
4 2 9.3
1 1 5.5
1 2 6.8
2 1 10.4
2 2 10.2
3 1 10.6
3 2 10.4
4 1 7.8
4 2 11
1 1 8.4
1 2 7
2 1 9.3
2 2 10.4
3 1 8.7
3 2 10.4
4 1 7.8
4 2 9
1 1 7
1 2 7.5
2 1 10.7
2 2 11.3
3 1 10.7
3 2 11.3
4 1 9.3
4 2 8.4
1 1 7.8
1 2 6.5
2 1 11.9
2 2 9.1
3 1 9.1
3 2 10.9
4 1 10.2
4 2 8.4
1 1 8.6
1 2 5.8
2 1 7.1
2 2 9
3 1 8.8
3 2 8
4 1 8.7
4 2 6.8
1 1 7.4
1 2 7.1
2 1 6.4
2 2 10.6
3 1 8.1
3 2 10.2
4 1 8.6
4 2 7.2
1 1 5.8
1 2 6.5
2 1 8.6
2 2 11.7
3 1 7.8
3 2 6.1
4 1 9.3
4 2 8.1
1 1 7
1 2 5.5
2 1 10.6
2 2 9.6
3 1 8
3 2 10.7
4 1 7.2
4 2 11
