 Supplement Weight
Linseed 300
Linseed 229
Linseed 181
Linseed 141
Linseed 260
Linseed 203
Linseed 148
Linseed 169
Linseed 213
Linseed 257
Linseed 244
Linseed 271
Soybean 243
Soybean 230
Soybean 248
Soybean 327
Soybean 329
Soybean 250
Soybean 193
Soybean 271
Soybean 316
Soybean 267
Soybean 199
Soybean 177
Soybean 158
Soybean 248
Sunflower 423
Sunflower 340
Sunflower 392
Sunflower 339
Sunflower 341
Sunflower 226
Sunflower 320
Sunflower 295
Sunflower 334
Sunflower 322
Sunflower 297
Sunflower 318
Meat 325
Meat 257
Meat 303
Meat 315
Meat 380
Meat 153
Meat 263
Meat 242
Meat 206
Meat 344
Meat 258
Casein 368
Casein 390
Casein 379
Casein 260
Casein 404
Casein 318
Casein 352
Casein 359
Casein 216
Casein 222
Casein 283
Casein 332
