 ProteinLevel Diet WeightGain
High Beef 73
High Beef 102
High Beef 118
High Beef 104
High Beef 81
High Beef 107
High Beef 100
High Beef 87
High Cereal 98
High Cereal 74
High Cereal 56
High Cereal 111
High Cereal 95
High Cereal 88
High Cereal 82
High Cereal 77
High Cereal 86
High Cereal 92
High Pork 94
High Pork 79
High Pork 96
High Pork 98
High Pork 102
High Pork 102
High Beef 90
High Beef 76
High Beef 90
High Beef 64
High Beef 86
High Beef 51
High Beef 72
High Beef 90
High Beef 95
High Beef 78
Low Cereal 107
Low Cereal 95
Low Cereal 97
Low Cereal 80
Low Cereal 98
Low Cereal 74
Low Pork 49
Low Pork 82
Low Pork 73
Low Pork 86
Low Pork 81
Low Pork 97
Low Pork 106
