Breed Gender DressingPercentage
1 Male 13.3
1 Male 12.6
1 Male 11.5
1 Male 15.4
1 Male 12.7
1 Male 15.7
1 Male 13.2
1 Male 15
1 Male 14.3
1 Male 16.5
1 Male 15
1 Male 13.7
1 Female 18.2
1 Female 11.3
1 Female 14.2
1 Female 15.9
1 Female 12.9
1 Female 15.1
2 Male 10.9
2 Male 3.3
2 Male 10.5
2 Male 11.6
2 Male 15.4
2 Male 14.4
2 Male 11.6
2 Male 14.4
2 Male 7.5
2 Male 10.8
2 Male 10.5
2 Male 14.5
2 Male 10.9
2 Male 13
2 Male 15.9
2 Male 12.8
2 Female 14.3
2 Female 15.3
2 Female 11.8
2 Female 11
2 Female 10.9
2 Female 10.5
2 Female 12.9
2 Female 12.5
2 Female 13
2 Female 7.6
2 Female 12.9
3 Male 13.6
3 Male 13.1
3 Male 4.1
3 Male 10.8
3 Female 12.9
3 Female 14.4
4 Male 11.6
4 Male 13.2
4 Male 12.6
4 Male 15.2
4 Male 14.7
4 Male 12.4
4 Female 13.8
4 Female 14.4
4 Female 4.9
5 Male 10.3
5 Male 10.3
5 Male 10.1
5 Male 6.9
5 Male 13.2
5 Male 11
5 Male 12.2
5 Male 13.3
5 Male 12.9
5 Male 9.9
5 Female 12.8
5 Female 8.4
5 Female 10.6
5 Female 13.9
5 Female 10
