Subject Gender Treatment x y
1 Male Experimental 58 71
1 Male Control 35 49
2 Female Experimental 64 71
2 Female Control 68 70
3 Male Experimental 57 69
3 Male Control 31 69
4 Female Experimental 39 71
4 Female Control 52 64
5 Male Experimental 63 71
5 Male Control 54 69
6 Female Experimental 69 71
6 Female Control 53 67
7 Male Experimental 66 70
7 Male Control 65 65
8 Female Experimental 56 76
8 Female Control 43 63
9 Male Experimental 45 65
9 Male Control 54 63
10 Female Experimental 67 71
10 Female Control 54 63
11 Male Experimental 51 69
11 Male Control 37 55
12 Female Experimental 39 65
12 Female Control 35 53
13 Male Experimental 62 69
13 Male Control 64 66
14 Female Experimental 32 66
14 Female Control 62 65
15 Male Experimental 58 66
15 Male Control 69 69
16 Female Experimental 62 70
16 Female Control 67 69
17 Male Experimental 52 61
17 Male Control 70 69
18 Female Experimental 64 68
18 Female Control 51 68
19 Male Experimental 59 63
19 Male Control 39 57
20 Female Experimental 66 68
20 Female Control 42 61
