Treatment Pig x1 x2 y
1 1 78 61 1.4
2 2 78 74 1.61
3 3 78 80 1.67
4 4 77 62 1.4
1 5 90 59 1.79
2 6 99 75 1.31
3 7 83 61 1.41
4 8 71 55 1.47
1 9 94 76 1.72
2 10 80 64 1.12
3 11 79 62 1.73
4 12 78 62 1.37
1 13 71 50 1.47
2 14 75 48 1.35
3 15 70 47 1.23
4 16 70 43 1.15
1 17 99 61 1.26
2 18 94 62 1.29
3 19 85 59 1.49
4 20 95 57 1.22
1 21 80 54 1.28
2 22 91 42 1.24
3 23 83 42 1.22
4 24 96 51 1.48
1 25 83 57 1.34
2 26 75 52 1.29
3 27 71 47 1.39
4 28 71 41 1.31
1 29 75 45 1.55
2 30 63 43 1.43
3 31 66 52 1.39
4 32 63 40 1.27
1 33 62 41 1.57
2 34 62 50 1.29
3 35 67 40 1.56
4 36 62 45 1.22
1 37 67 40 1.26
2 38 67 40 1.26
3 39 67 40 1.36
4 40 67 39 1.36
