Group Zone y x
1 1 1911 46
1 2 1318 80
1 3 1127 74
1 1 1560 66
1 2 1541 67
1 3 1509 71
1 1 2639 38
1 2 1350 73
1 3 1756 60
2 1 1034 50
2 2 1559 58
2 3 1054 83
2 1 2096 33
2 2 1260 74
2 3 2238 47
2 1 1356 44
2 2 1772 44
2 3 1599 71
3 1 2130 35
3 2 2027 32
3 3 1479 56
3 1 1878 45
3 2 1414 51
3 3 1837 40
3 1 1152 59
3 2 1526 34
3 3 1437 66
4 1 1297 68
4 2 1938 33
4 3 2136 31
4 1 2093 43
4 2 1551 40
4 3 1765 56
4 1 2035 59
4 2 1450 39
4 3 1056 70
5 1 2189 33
5 2 1183 54
5 3 1156 47
5 1 2078 36
5 2 1967 36
5 3 2660 43
5 1 1905 38
5 2 1452 53
5 3 1474 50
6 1 1156 57
6 2 2599 35
6 3 1015 63
6 1 1809 52
6 2 2355 64
6 3 2555 34
6 1 1997 44
6 2 1932 79
6 3 1436 54
