y x1 x2 x3
18.38 15.50 17.25 .24 
8.50 9.00 8.89 .08
20.00 22.29 18.51 .20 
36.50 20.64 23.81 .24
11.50 12.36 11.13 .12 
60.00 81.40 4.54 .05
25.00 31.84 5.54 .12 
16.25 18.92 29.62 .72
52.50 83.90 5.44 .04 
50.00 50.32 21.36 .19
82.50 72.25 20.37 .05 
11.50 21.33 1.53 .10
25.00 27.14 31.20 .27 
35.00 46.85 5.42 .08
30.67 40.41 4.29 .10 
75.00 65.94 22.10 .09
12.00 12.42 8.69 .41 
31.56 38.68 14.55 .17
61.25 69.42 6.63 .04 
48.50 51.19 7.59 .13
60.00 48.46 27.40 .12 
77.50 59.42 49.86 .13
57.50 69.00 31.23 .08 
21.67 24.64 11.46 .21
31.00 26.09 28.50 .21 
19.75 26.94 2.48 .10
60.00 62.83 29.98 .17 
56.00 46.20 31.62 .26
72.50 77.06 13.59 .05 
25.00 26.86 53.73 .43
60.33 58.83 45.46 .16 
40.00 20.00 40.18 .56
49.75 59.48 35.90 .32 
56.67 62.52 15.89 .05
