y_i yhat_i e_i h_ii r_i t_i D_i
41.5 42.19 -0.688 0.43 -0.394 -0.383 0.029
33.8 31 2.798 0.31 1.457 1.52 0.239
27.7 27.74 -0.042 0.155 -0.02 -0.019 0
21.7 21.03 0.67 0.139 0.313 0.303 0.004
19.9 19.4 0.495 0.129 0.23 0.222 0.002
15 12.69 2.307 0.14 1.076 1.082 0.047
12.2 12.28 -0.082 0.228 -0.04 -0.039 0
4.3 5.57 -1.27 0.186 -0.609 -0.596 0.021
19.3 20.22 -0.917 0.053 -0.408 -0.396 0.002
6.4 4.76 1.642 0.233 0.811 0.801 0.05
37.6 35.68 1.923 0.24 0.954 0.951 0.072
18 13.09 4.906 0.164 2.32 2.8 0.264
26.3 27.34 -1.04 0.146 -0.487 -0.474 0.01
9.9 13.51 -3.605 0.245 -1.795 -1.956 0.261
25 26.93 -1.929 0.25 -0.964 -0.961 0.077
14.1 15.44 -1.342 0.258 -0.674 -0.661 0.039
15.2 15.44 -0.242 0.258 -0.121 -0.117 0.001
15.9 19.54 -3.642 0.217 -1.78 -1.937 0.22
19.6 19.54 0.058 0.217 0.028 0.027 0
